Question,op1,op2,op3,op4,ans
 বায়োইনফরমেট্রিক্স হলো-, জৈব বিজ্ঞান, তথ্য বিজ্ঞান, জৈব বিজ্ঞান, জীব তথ্য বিজ্ঞান,op1
 বর্তমানের মধ্যে নতুন প্রতিস্থাপন করে নতুন ক্রোমোজম উৎপাদনের কৌশলই-, জেনেটিক ইঞ্জিনিয়ারিং, বায়ো টেকনোলজি, বায়োমেট্রিক্স, জেনেটিক,op1
 বায়োইনফরমেটিক্স এবং জেনেটিক ইঞ্জিনিয়ারিং এর মিল কোথায়?, কম্পিউটার ক্রাইম নিয়ে আলোচনা করা হয়, DNA নিয়ে গবেষণা করা হয়।, সামাজিক যোগাযোগে ব্যবহার করা হয়।, কম্পিউটার ভাইরাস নিয়ে গবেষণা করা হয়,op2
 তথ্য যোগাযোগ প্রযুক্তির ব্যবহার নেই-, সার্জারিতে, ব্যাংকিংয়ে, ভাষা শিক্ষায়, খ্যাদ্য গ্রহণে,op4
 বায়োইনফরমেটিক্স এর প্রধান কাজ হলো-, জিন অনুসন্ধান করা, সিকোয়েন্স অ্যালাইনমেন্ট, সফটওয়্যার টুলস তৈরী করা, জিনোম সমন্বয় করা,op2
" কম্পিউটার বিজ্ঞান, গণিত ও প্রযুক্তিবিদ্যার বিভিন্ন শাখায় জীবসম্বন্ধীয় উপায়",প্রক্রিয়াকরণের ক্ষেত্রে ব্যবহৃত হয়-, Biometrics, Genetics, Bioinformatics,op4
 জেনেটিক ইঞ্জিনিয়ারিং এর ফলে পরিবর্তন করা সম্ভব-, অর্থনীতি, জীবন, জীবদেহ, সমাজ,op3
 কোন জীব থেকে একটি নির্দিষ্ট জিন ব্যবহারকারী জিন বহনকারী খন্ড পৃথক করে ভিন্ন একটি জীবে,স্থানান্তর কৌশল কে কী বলে?, বায়োমেট্রিক্স, বায়োইনফরমেট্রিক্স, জেনেটিক ইঞ্জিনিয়ারি,op4
 জেনেটিক ইঞ্জিনিয়ারিং এর অপর নাম কী?, জেনেটিক মডুলেশন, জেনেটিক মডিফেকেশন, জেনেটিক ফিউশন, জেনেটিক ফেশন,op2
 উন্নত বৈশিষ্ঠ্যধারী উদ্ভিদ ও প্রাণী সৃষ্টিতে কাজ করে-, ন্যানোটেকনোলজি, বায়োমেট্রিক্স, বায়োইনফরমেট্রিক্স, জেনেটিক ইঞ্জিনিয়ারিং,op4
 DNA অণু কাঁটা যায় কী দিয়ে-, ব্লুপপ্রিন্ট, আণবিক কাঁচি, পারমাণবিক কাঁচি, রিকম্বিনেন্ট,op3
 ন্যানোটেকনোলজি কে সংক্ষেপে কী বলা হয়-, টেকনো, মাইক্রো টেক, ন্যানো, মাইক্রোটেকনোলজি,op3
 কতটি Xenon অণু দ্বারা আইবিএমএর লোগোটি তৈরী হয়?, ২০ টি, ৩০ টি, ৩৫ টি, ৪০ টি,op3
 ন্যানো প্রযুক্তির জনক বলা হয়-, ফাইনম্যান রোজ, রিচার্ড ফাইনম্যান, বায়োমেট্রিক্স, মার্ক জুকার্বাগ,op2
 এক ইঞ্চির দুই কোটি ৫৪ লক্ষ ভাগের এক ভাগ হলো-, এক মিটার, এক ন্যানো মিটার, এক কিলোমিটার, এক ন্যানো কিলোমটিার,op2
 সংবাদপত্রের একটি শীটের প্রশস্ততা হলো-, এক লক্ষ ন্যানো মিটার, দুই লক্ষ মিটার, তিন লক্ষ মিটার, চার লক্ষ মিটার,op1
 রেডিয়েশন দেখা হয় কোন চিকিৎসায়-, হৃদরোগ, হাপানি, ক্যান্সার, জন্ডিস,op3
 সর্বপ্রথম কম্পিউটার ইথিকস টার্মটির ধারনা দেন কে?, প্রফেসর  রিচার্ড ফাইনম্যান, প্রফেসর  ওয়ান্টার, প্রফেসর আর এর ফিশার, প্রফেসর  টিম বার্নারলি,op2
 ইন্টারনেট ব্যবহার করে অন্যের কম্পিউটার বা সিস্টেমে অবৈধভাবে অনুপ্রবেশ করাকে বলা হয়-, থামসিং, প্রাইরেসিং, ক্রাকিং, হ্যাকিং,op4
 কম্পিউটার ইথিকস ইন্সটিটিউট কম্পিউটার ইথিকসের বিষয়ে কয়টি নির্দেশনা তৈরী করে-, ০৬টি, ০৮টি, ১০টি, ১২টি,op3
 বিশ্ব আজ এক তথ্যের মহাসমুদ্রে পরিণত হয়েছে কিসের ফলে-, মোবাইল ফোন, টেলিভিশন, কম্পিউটার নির্ভর ইন্টারনেটের ফলে, কম্পিউটার,op3
 তথ্য ও যোগাযোগ প্রযুক্তির ফলে-, সময় বেশি কিন্তু খরচ কম, সময় ও খরচ খুবই কম, খরচ বেশি কিন্তু সময় কম, সময় ও শক্তি খরচ বেশি,op2
 ফ্লিকার হলো-, ফটো শেয়ারিং সাইট, ভিডিও শেয়ারিং সাইট, রাজনৈতিক নেটওয়ার্কিং সাইট, অর্থনৈতিক শেয়ারিং সাইট,op2
 টেলিযোগাযোগের মাধ্যমে সভা সমাবেশ করাকে বলা হয়-, টেলিকনফারেন্সিং, টেলিকফারেন্স, ভিডিও টেলিকনফারেন্স, ভিডিও করফারেন্স,op2
 টেলিকনফারেন্স পদ্ধতি আবিষ্কার করেন-, মাদার কুরি, মরি টারফ, টারফ মরিসন, মার্ক এন্ড্রিসন,op2
 মরি টারফ কিসের সাথে যুক্ত-, এক্সপার্ট সিস্টেম, বুলেটিন বোর্ড, রোবট, টেলিকনফারেন্সিং,op4
 ভিডিও কনফারেন্সিং এর মাধ্যমে-, ভিডিও করা যায়, কথা বলা যায়, ছবি দেখা যায়, কথা বলা ও শোনা,op3
 শিক্ষার্থীরা ঘরে বসে ক্লাসে অংশগ্রহনের সুযোগ পায় যার মাধ্যমে-, টেলিকনফারেন্সিং, বুলেটিন বোর্ড, রিজার্ভেশন সিস্টেম, ভিডিও কনফারেন্সিং,op4
 বিমানের উঠানামা এবং কখন বিমান আসবে এবং ছেড়ে যাবে এসকল তথ্য জানা যায়-, এক্সপার্ট সিস্টেমের মাধ্যমে, টেলিকনফারেন্সিং এর মাধ্যমে, বুলেটিন বোর্ডের মাধ্যমে, ভিডিও কনফারেন্সিং এর মাধ্যমে,op3
 ATM- এর পূর্ণ নাম-, Automatic Taka Machine, Automatic Teller Machine, Atom Mobile Machine, Atonation Talore Machine,op2
 বর্তমানের মধ্যে নতুন প্রতিস্থাপন করে নতুন ক্রোমোজম উৎপাদনের কৌশলই-, EFT, VC, RS, ES,op2
" নিচের কোনটি ব্যবহার করে তথ্য ও যোগাযোগ প্রযুক্তির সাহায্যে অর্থ সংগ্রহ সংরক্ষণ,","প্রক্রিয়াকরণ, স্থানান্তও এবং উদ্ধার করা যায়?", ই-কমার্স, ই-মার্কেটিং, ই-রিটেলিং,op2
 কোথায় তথ্য প্রযুক্তির ব্যবহার সবচেয়ে বেশি?, যোগাযোগ ক্ষেত্রে, শিল্পক্ষেত্রে, শিক্ষাক্ষেত্রে, চিকিৎসাক্ষেত্রে,op3
 ইউনিয়ন তথ্য ও সেবাকেন্দ্রে অনলাইনের মাধ্যমে সেবা পাওয়া যায়-,(i) ভোটার তালিকা হালনাগাদকরণ তথ্য,(ii) ভিজিএফ/ভিডিজি কার্ডধারী তথ্য,(iii) জন্ম নিবন্ধন,নিচের কোনটি সঠিক?,"i, ii ও iii"
 বিশ্বগ্রামের সম্পর্কযুক্ত তথ্যসমূহ হলো-,(i) বিশ্বগ্রামের ধারণা বাস্তবে রুপ নেয় ১৯৭০ সালে,(ii) কম্পিউটার ব্যবহারের ফলে দূরত্ব এখন হাতের মুঠোয়,(iii) বিশ্বগ্রাম ধারণা বাস্তবায়ন করে ইন্টারনেট,নিচের কোনটি সঠিক?,ii ও iii
 বিশ্বগ্রামের সম্পর্কিত তথ্য হলো-,(i) বিশ্বগ্রামের ধারণা সর্বপ্রথম প্রদান করেন মার্শাল ম্যাকলুহান।,(ii) বিশ্বগ্রাম হলো তথ্যপ্রযুক্তি ভরা বিশ্ব।,(iii) বিশ্বগ্রাম হচ্ছে এমন একটি প্রযুক্তি নির্ভর পদ্ধতি যা এক দেশকে অন্য দেশের সাথে যুক্ত করে।,নিচের কোনটি সঠিক?,"i, ii ও iii"
 যোগাযোগ ব্যবস্থায় বৈপ্লবিক পরিবতন এনেছে-,(i) টেলিফোন,(ii) টেলিভিশন,(iii) কম্পিউটার,নিচের কোনটি সঠিক?,"i, ii ও iii"
 কম্পিউটার ব্যাপক ব্যবহৃত হচ্ছে-,(i) স্যটেলাইট কমিনিকেশন,(ii) টেলি কমিনিকেশন,(iii) ওয়্যারলেস কমিনিকেশন,নিচের কোনটি সঠিক?,"i, ii ও iii"
 তথ্য ও প্রযুক্তির কল্যানে শিক্ষা গ্রহনের পদ্বিতি হয়েচে –,"(i) সহজ, উন্নত ও আকষনীয়",(ii) সার্বজনীন,(iii) ব্যয় সাশ্রয়ী,নিচের কোনটি সঠিক?,i ও ii
 টেলিফারেন্সিং এর মাধ্যমে সেবা পাওয়া যায়-,(i) দ্বীপ এলাকা হতে,(ii) হাওয়া অঞ্চল থেকে,(iii) পাহাড়ী এলাকা থেকে,নিচের কোনটি সঠিক?,"i, ii ও iii"
 তথ্য ও প্রযুক্তির সম্পর্কিত তথ্যাবলী -,(i) অনলাইন পদ্বতিতে ইন্টারনেটের বিভিন্ন টুলস এর উপর ভিত্তি করে গড়ে উঠেছে,(ii) মেশিন যোগাযোগ একটি কৃতিম ব্যবস্থা,(iii) প্রসপেটর খনিজ সম্পদ খুজে বের করতে ব্যবহার হয়,নিচের কোনটি সঠিক?,ii ও iii
 জনসংখ্যা ও বাসস্থান সম্পর্কিত-,(i) বর্তমানে মোট অধিবাসীসদর মেধ্যে ৪৯% মহিলা।,"(ii) বৈশ্বিক বাসস্থান, সমন্নিত রান্নার স্থান যা সকলের জন্য ব্যবহার যোগ্য নয়।",(iii) বাংলাদেশে মোট জনসংখ্যা ৭৬% লোক গ্রামে বাস করে।,নিচের কোনটি সঠিক?,ii ও iii
 বৈশ্বিক বাসস্থান-,(i) বসবাসকারী ব্যকি্ত লন্ড সিস্টেমের সুবিধা ভোগ করতে পারবে স্বল্প খরচে,(ii) বসবাসকারী ব্যক্তির জন্য কোন হিডেন সাজ থাকে না,(iii) নিরবিছিন্ন বিদ্বুত ব্যবস্থা সংযুক্ত ও বহাল,নিচের কোনটি সঠিক?,i ও iii
 -,"(i) ই-কমার্স পদ্ধতি চালু হওয়ার শ্যম, অথে এবং সেবা সাশ্রয় হচ্ছে।",(ii) তথ্য ও যোগাযোগ প্রযুক্তির উন্নয়নের ফলে ব্যবসায় কম লোকবলে বেশি কাজ করা সম্ভব।,(iii) ই-কমার্স এর জন্য কর্মী ব্যবস্থাপনা সহজ,নিচের কোনটি সঠিক?,"i, ii ও iii"
 তথ্য ও যোগাযেগ প্রযুক্তি ফলে-,(i) অল্প খরচে বিভিন্ন কাজ স্পন্ন করা যাচ্ছে,(ii) বিক্রয় ও মুনাফা বৃদ্বি পাচ্ছে,(iii) ব্যবসায় হিসাব ও অথিক ব্যবস্হাপনার তেমন গতি ও বিশুদ্বাতা আসেনি,নিচের কোনটি সঠিক?,i ও ii
" গনমাধ্যমে অনেক ধরনের সেবা বিশেষ করে ই-মেইল, ওয়েবসাইট সেবা প্রদান করে-",(i) ব্লগিং,(ii) রেডিও,(iii) ইন্টারনেট,নিচের কোনটি সঠিক?,i ও iii
 সংবাদ প্রচারে তথ্য প্রযুক্তির ভূমিকা-,(i) সংবাদ হলো তথ্যের সমষ্টি।,(ii) বর্তমানে তথ্য প্রযুক্তির উপর সংবাদ মাধ্যমগুলো নির্ভরশীল নয়।,(iii) কম্পিউটার নেটওয়ার্কের মাধ্যমে একটি দেশের প্রতিটি শহর থেকে একই সময়ে সংবাদপএ বের করা সম্ভব হচ্ছে।,নিচের কোনটি সঠিক?,ii ও iii
 বিশ্ব সামাজিক যোগাযোগ ব্যবস্থা-,(i) ফেসবুক,(ii) টুইটার,(iii) স্কাইপ,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ফেসবুক লগইন করা অবস্থায় যা সম্ভব –,(i) একজন অন্যজনের সাথে চ্যাট করা,(ii) প্রোফাইল দেখা,(iii) সরাসরি কথা বলা,নিচের কোনটি সঠিক?,i ও ii
 জিআইএস এর প্রয়োজনীয় উপকরণ-,(i) কম্পিউটার,(ii) ডিজিটাইজার,(iii) প্লটার,নিচের কোনটি সঠিক?,"i, ii ও iii"
 জিআইএস বেশ কার্যকর ভূমিকা রাখছে-,(i) ট্রাফিক জ্যাম,(ii) সন্ত্রাস,(iii) দারিদ্র,নিচের কোনটি সঠিক?,"i, ii ও iii"
 বুদ্ধিমান আচরণের স্বাভাবিক গুন-,(i) অভিজ্ঞতা থেকে শেখা ও বুঝা,(ii) জ্ঞান অর্জন ও প্রয়োগ করা,(iii) সৃজনশীলতা ও কল্পনাশক্তির প্রদর্শন,নিচের কোনটি সঠিক?,"i, ii ও iii"
 রোবট তৈরি করা হয়-,(i) খুবই কষ্টসাধ্য,(ii) সস্তা,(iii) ব্যয়বহুল,নিচের কোনটি সঠিক?,i ও iii
 ক্রায়োসার্জারি ব্যবহার করা-,(i) ক্যারাটোসিস,(ii) স্কিন ট্যাগ,(iii) জন্ডিস,নিচের কোনটি সঠিক?,i ও ii
 আইসিটি ব্যবহারের ফলে-,(i) খরচ হ্রাস পায়,(ii) অপচয় বেশি হয়,(iii) অপচয় কম হয়,নিচের কোনটি সঠিক?,i ও iii
 প্রতিরক্ষা বাহিনী গঠিত-,(i) সেনাবাহিনী,(ii) নৌবাহিনী,(iii) বিমান বাহিনী,নিচের কোনটি সঠিক?,"i, ii ও iii"
 বায়োমেট্রিক্স এর শারীরবৃত্তীয় অংশ হলো-,(i) মূখ,(ii) হাত,(iii) আঙ্গুলের ছাপ,নিচের কোনটি সঠিক?,"i, ii ও iii"
 বায়োমেট্রিক্স ব্যবহার হয়-,(i) কম্পিউটারের ব্যবহার নিয়ন্ত্রণ,(ii) অপরাধী ও ব্যক্তি শনাক্তকরণের কাজ,(iii) ক্যান্সার গবেষণায়,নিচের কোনটি সঠিক?,i ও ii
 নলেজবেজড বা জ্ঞানভিত্তিক শনাক্তকরণ পদ্ধতি হলো-,(i) পাসওয়ার্ড,(ii) পাসপোর্ট,(iii) পিন নম্বর,নিচের কোনটি সঠিক?,"i, ii ও iii"
 বায়ো ইনফরমেটিক্স এর জন্য প্রায়োজনীয় সফটওয়্যার-,(i) SQL,(ii) Perl,(iii) MS-Excel,নিচের কোনটি সঠিক?,i ও ii
 বায়োইনফরম্যটিক্সর গবেষনার ক্ষেত্রফল গুলো হল-,(i) জিন অনুসন্দান,(ii) জিনো অনুসন্দান,(iii) মহাকাশযান নিয়ন্তন,নিচের কোনটি সঠিক?,i ও ii
 বায়োইনফরম্যটিক্স এর প্রধান কাজ হলো-,(i) জেনেটিক ও জিনোমিক ডেটার মধ্যে তুলনা করে।,(ii) মলিকুলার বায়োলজির বৈশিষ্ঠ অনুধাবন ও মুল্যায়ন করার কাজে সহায়তা করে ।,"(iii) দূতাবাস, সীমান্ত চেকপোষ্ট বিমানবন্দর প্রভৃতি কাজে ব্যবহার হয়।",নিচের কোনটি সঠিক?,i ও ii
 ন্যানো টেকনোলজি ব্যবহার হয়-,(i) কসমেটিক্ম উৎপাদনে,(ii) কাপড় তৈরিতে,(iii) উচ্চ ফলনশীল গাছ উদ্ভাবনে,নিচের কোনটি সঠিক?,"i, ii ও iii"
 STM যন্তটি-,(i) ১৯৮০ সনে IBN এর গবেষকরা প্রথম আবিস্কার করেন,(ii) দ্বারা অণুর গঠন দেখা সম্ভব হয়েছে।,(iii) ন্যানো প্রযুক্তিকে বাস্তবে রুপ দিতে সক্ষম হয়েছে।,নিচের কোনটি সঠিক?,"i, ii ও iii"
 মোবাইল ফোনের মাধ্যমে সম্বব-,(i) ই-মেইল,(ii) ভয়েস কল,(iii) টাকা পাঠানে,নিচের কোনটি সঠিক?,"i, ii ও iii"
 সামাজিক নেটওয়ার্কিং সাইটগুলোর অবদান হলো-,(i) সামাজিক ঐক্য গড়ে তোলা।,(ii) বেকারত্ব সৃষ্টি করা।,(iii) সমাজের সকল মানুষের মধ্যে যে পারস্পরিক বন্ধন জোড়ালো করা।,নিচের কোনটি সঠিক?,ii ও iii
 স্কাইপের সাহায্যে-,(i) অডিও ভিডিও চ্যাটিং করা যায়,(ii) ভিডিও কনফারেন্সিং করা যায়,(iii) নিকটজন বা পরিচিতদের সাথে টেক্মট করা যায়,নিচের কোনটি সঠিক?,"i, ii ও iii"
 বর্তমান ভিডিও কনফারেন্সি ব্যবহার হচ্ছে-,(i) ব্যবসায় বাণিজ্যে,(ii) স্বাস্থ্যসেবায়,(iii) শিক্ষা খাতে,নিচের কোনটি সঠিক?,"i, ii ও iii"
 গনি সাহেবের তথ্য প্রযুক্তির ব্যবহার-,(i) ইতিবাচক,(ii) নেতিবাচক,(iii) কার্যকর ও সময়োপযোগি,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ইন্টার্নেটের মাধ্যমে গণি সাহেব যে সুবিধা পেতে পারে-,(i) ই-নিউজ ব্যবহার,(ii) ই-বুক ব্যবহার,(iii) ফেজবুক ব্যবহার,নিচের কোনটি সঠিক?,"i, ii ও iii"
 উপরোক্ত আলোচনায় আঙ্গুলের ছাপ নেওয়ার জন্য কোন প্রযুক্তি ব্যবহৃত হয়েছে?, বায়োমেট্রিক্স, বায়ো্নিফরমেট্রিক্স, ভার্চুয়াল বিয়েলিটি, ন্যানোটেকনোলজি,op1
 তানভীর পাসর্পোট সম্পন্ন হওয়ার খবর জানতে পারবে-,(i) তথ্য প্রযু্ক্তির মাধ্যমে,(ii) যোগাযোগ প্রযুক্তির মাধ্যমে,(iii)  ন্যানোটেকনোলজি মাধ্যমে,নিচের কোনটি সঠিক?,i ও ii
 কোনো প্রযুক্তি দ্বারা ব্যাংকিং সিস্টেমে যুক্ত হয়ে ক্রেডিট কার্ড জালিয়াতির পদক্ষেপ শনাক্ত,করে টেলিফোনে আড়ি পেতে কন্ঠস্বর শনাক্ত করা যায়।, আর্টিফিসিয়াল ইন্টিলিজেন্স, তথ্য প্রযুক্তি, রোবটিক্স,op3
 বায়োমেট্রিক্স কোথায় ব্যবহৃত হয়?, চিকিৎসায়, শিক্ষাক্ষেত্রে, যোগাযোগ,  ব্যক্তি শনাক্তকরনে,op4
 শিক্ষক যে বিষয়টি আলোচনা করলেন তাকে কী বলে?, Biometrics, Bioinformatics, Nanotechnology,  Genetic Engineering,op2
 শরীরবৃত্ত বায়োমেট্রিক্স কী নিয়ে কাজ করে?, ন্যানো টেকনোলজি, ডএএ, রোবটিক,  ক্রায়োসার্জারি,op2
 নিচের কোনটি প্রমাণভিত্তিক শনাক্তকরণ পদ্ধতি?, পাসওয়ার্ড, মোবাইল ফোন, নাগরিকত্ব কার্ড, PIN,op4
 বর্তমান বিশ্বে যোগাযোগের সবচেয়ে পরিচিত মাধ্যম কোনটি?, চিঠি, টেলিফোন, টেলিগ্রাম,  ই-মেইল,op4
 ই-মেইল হলো-, ইনভারমেন্টাল মেইল, ইলেকট্রনিক মেইল, ইজি মেইল,  ইনভিলাপ মেইল,op2
 বিভিন্ন প্রতিষ্ঠান তথ্য প্রযুক্তির উপর নির্ভরশীল হওয়ায় অনেক ক্ষেত্রে সনাতনী প্রথা উঠে,যাচ্ছে। এটি তথ্য প্রযুক্তিতে কী ধরনের কু-প্রভাব ফেলেছে?, শারীরিক সমস্যা, মানসিক সমস্যা, বেকারত্ব বৃদ্ধি,অশ্লীলতা
 রঙিন টিভি বেশি সময় ধরে দেখার কারণে সৃষ্ট সমস্যা কোনটি?, হৃদপিন্ড অকার্যকর হওয়া, কোষের সমস্যা হওয়া, কোমর ব্যথা,  শ্রবণশক্তি কমে যাওয়া,op3
 তথ্য প্রযুক্তির কু-প্রভাবে-,(i) অপরাধ বৃদ্ধি পায়,(ii) মানব সম্পদের উন্নয়ন হয়,(iii) ব্যবসায়িক সুখ্যাতি নষ্ট হয়,নিচের কোনটি সঠিক?,ii ও iii
 নিচের কোনটি গ্লোবাল আউটসোর্সিং মার্কেট প্লেস?, আপওয়ার্ক, ই-ওয়ার্ক, এম-ওয়ার্ক, ওয়ার্কার,op1
 গ্লোবাল ভিলেজ প্রতিষ্ঠার প্রধান উপাদন কোনটি-, টেলিভিশন, রেডিও, টেলিফোন, ইন্টারনেট,op4
 তথ্য আদান-প্রদানে ক্ষেত্রে বৈপ্লবিক পরিবর্তন আনে-, টেলিফোন, টেলিভিশন, ফ্যাক্স, কম্পিউটার,op4
 কৃত্রিম উপগ্রহের মাধ্যমে গড়ে উঠেছে-,(i) আন্তঃমহাদেশীয় যোগাযোগ ব্যবস্থা,(ii) আন্তঃ মহাদেশীয় বাণিজিক ব্যবস্থা,(iii) আন্তঃমহাদেশীয় সাংস্কৃতিক ব্যবস্থা,নিচের কোনটি সঠিক?,"i, ii ও iii"
 বিভিন্ন প্রোগ্রাম মোতাবেক কম্পিউটার-,(i) তথ্য নেয়,(ii) প্রক্রিয়াকরণ করে,(iii) ফলাফল প্রদান করে,নিচের কোনটি সঠিক?,"i, ii ও iii"
 কোনটি জীবদেহের দেহের ডিএনএ এর বিভাজিত একক বৈশিষ্ট্য নির্দেশক?, সেন্ট্রিওল, কোষ, জিন, ক্রোমাটিভ,op3
 কৃত্রিম বুদ্ধিমত্তা সংযোজন করা হচ্ছে কোন প্রজন্মের কম্পিউটারে?, দ্বিতীয়, চতুর্থ, পঞ্চম,  ষষ্ঠ,
 আধুনিক খেলাগুলোর বিভিন্ন সমগ্রী তৈরিতে কোন প্রযুক্তি ব্যবহার করা হচ্ছে?, জেনেটিক ইঞ্জিনিয়ারিং, ন্যানো টেকনোলোজী, বায়োইনফোরমেটিক্স, রোবটিক্স,
 কৃত্রিম বুদ্ধিত্তার ব্যবহারের প্রধান ক্ষেত্রে-,(i) ন্যাচারল ইন্টারফেস,(ii) বুদ্ধিবৃত্তিক বিজ্ঞান,(iii) ক্রায়োসার্জারি,নিচের কোনটি সঠিক?,i ও ii
 বিশ্বগ্রাম ধারনা সংশ্লিস্ট উপাদান-,(i) টেলিভিশন,(ii) অটোক্যাড,(iii) স্মার্টহোম,নিচের কোনটি সঠিক?,"i, ii ও iii"
 অস্থায়ী স্বৃতি হিসেবে ব্যবহুত হয় কোনটি-,(i) র‌্যাম,(ii) রম,(iii) রেজিস্টার,নিচের কোনটি সঠিক?,i ও iii
 কম্পিউটারের যাবতীয় গানিতিক কাজ সম্পন্ন করে কে-, র‌্যাম, রম, সপইউ, এইউ,op4
 চাঁদে প্রথম মানুষ অবতরণকারী প্রথম মানুষ কে?, নীল আর্মস্ট্রং, এডউইড অলড্রীন, মাইকেল কলিন্স, হোচেমিন,
 কত তাপমাত্রায় ক্রোয়োসার্জারি সেলগুলোকে ধ্বংস করে?, -৪১oC, +৮১oC, -৮৬oC, -৭৮oC,op1
 নিচের কোন রোগে ক্রয়োসার্জারি ব্যবহৃত হয়?, চর্মরোগে, মস্তিকের রোগে, পেটের রোগে, দন্তরোগে,op1
 কম্পিউটার সিমুলেশন প্রয়োগ হয় কোন ক্ষেত্রে?, ক্রায়োসার্জারী, ভার্চুয়াল রিয়েলিটি, ন্যানো টেকনোলজি, বায়োমেট্রিক্স,op2
 এক ন্যানো মিটার সমান কত?, ১০-৭ মিটার, ১০-৮মিটার, ১০-৯মিটার, ১০-১০মিটার,op3
 GSM এর পূর্ণরুপ কী?, General System for Mobile Communication, Global Standard for Mobile Communication, General Standard for Mobile Communication, Global System for Mobile Communication,op4
 খাদ্যজাত দ্রব্যের মান সঠিক রাখার জন্য প্যাকেটের ভিতর প্রলেপ করার প্রযুক্তি কি?, বায়োমেট্রিক্স, ন্যানোটেকনোলজি, জেনেটিক ইঞ্জিনিয়ারি, বায়োইনফোরমেটিক্স,op2
 কৃত্রিমবুদ্ধিমত্তায় প্রধানত ব্যবহৃত হয় কোনটি?, Python, Prolog, Cobol, Fortran,op2
 ইন্টারনেট ব্যবহার করে কর্মসংস্থানের ব্যবস্থাকে কি বলে?, ই-কমার্স, ই-বিজনেস, আউটসোর্সীং, ই-গর্ভনেন্স,op3
 ন্যানো অবজেক্ট তৈরি করা হয় কোথা থেকে?, মলিকুলার কম্পুনেন্ট থেকে, লার্জার এন্টিটি হতে, সাইনিং- এর মাধ্যমে, প্রোগ্রামিং দ্বারা,op1
 কোনটি ক্রায়োসার্জারির সাথে সম্পর্কীত?, ফাজি লজিক, বিশেষ ধরণের গ্লাভস, নাইট্রোজেন, নেভিগেশন,op3
 রোবটিক্স এর ক্ষেত্রে প্রযোজ্য-,(i) হার্ডওয়্যার,(ii) র্আটিফিসিয়াল,(iii) নতুন গবেষনা পরিচালনা,নিচের কোনটি সঠিক?,"i, ii ও iii"
 কোনটি বায়োইনফরমেটিক্স এর বৈশিষ্ট্য-, স্বল্প ডেটা সংরক্ষণ, জৈবিক ডেটার সমাহার, ন্যানো টেকনোলজীর ব্যবহার, প্রযুক্তি নির্ভর নিরাপত্তা,op2
 বায়োমেট্রিক্স এর শরীরবৃত্তীয় অংশ হলো-,(i) মুখ,(ii) হাত,(iii) আঙ্গুলর ছাপ,নিচের কোনটি সঠিক?,"i, ii ও iii"
 একুশ শতকের সম্পদ হলো—, কৃষি, অর্থ, জ্ঞান, শিল্প-বাণিজ্য,op3
 পৃথিবীর সম্পদ হচ্ছে—, রোবট, জ্ঞান, সাধারণ মানুষ, খনিজ সম্পদ,op3
 একুশ শতকে পৃথিবীর সম্পদ—,(i) জ্ঞান,(ii) মানুষ,(iii) অর্থ,নিচের কোনটি সঠিক?,i ও ii
 পৃথিবীর সম্পদ মানুষই—,(i) জ্ঞান সৃষ্টি করতে পারে,(ii) জ্ঞান ধারণ করতে পারে,(iii) জ্ঞান ব্যবহার করতে পারে,নিচের কোনটি সঠিক?,"i, ii ও iii"
 একুশ শতকের পরিবর্তনের ধারা সূচিত হয়েছে কোনটির কারণে?, Internet, E-mail, Internationalization, Globalization,op3
 Globalization এবং Internationalization বিষয় দুটির ত্বরান্বিত হওয়ার পেছনে কোন কারণটি,দায়ী?, তথ্য ও যোগাযোগ প্রযুক্তি, ইন্টারনেট, জ্ঞানভিত্তিক অর্থনীতি,op2
 তথ্য ও যোগাযোগ প্রযুক্তি বিকাশের ফলাফল—,(i) Green House Effect,(ii) Globalization,(iii) Internationalization,নিচের কোনটি সঠিক?,ii ও iii
 মানুষের প্রকৃতি নির্ভরশীলতা কমে যাওয়ার পেছনে কারণ কী?, অর্থের ব্যবহার, যন্ত্রের আবিষ্কার ও ব্যবহার, ইন্টারনেট, তথ্যের ক্রমবিকাশ,"i, ii ও iii"
 একুশ শতাব্দীতে কোন ধরনের অর্থনীতির সূচনা হয়েছে?,(i),(ii),(iii),নিচের কোনটি সঠিক?,জ্ঞানভিত্তিক
 একুশ শতাব্দীতে টিকে থাকতে হলে—,(i) উচ্চশিক্ষায় শিক্ষিত হতে হবে,(ii) তথ্য ও যোগাযোগ প্রযুক্তিতে জ্ঞান অর্জন করতে হবে,(iii) তথ্য প্রযুক্তিতে পারদর্শী হতে হবে,নিচের কোনটি সঠিক?,ii ও iii
 লন্ডন বিজ্ঞান জাদুঘর যান্ত্রিকভাবে গণনা করতে সক্ষম ইঞ্জিন কত সালে তৈরি করে?, ১৮৩৩, ১৮৪২, ১৯৫৩, ১৯৯১,op4
 কোন আবিষ্কারকের আবিষ্কারের ফলে আজকের পৃথিবীতে ঘরে বসেই অফিসের কাজ করা সম্ভব হচ্ছে?, চার্লস ব্যাবেজ, অ্যাডা লাভলেস, জেমস ক্লার্ক ম্যাক্সওয়েল, জগদীশ চন্দ্র বসু,op1
